job_description,sentiment,transformed_text
"Sr Supply Chain Analyst Fender Los Angeles, CA Unknown",negative,sr suppli chain analyst fender lo angel ca unknown
"Data/Reporting Analyst US Tool Group Farmington, MO Unknown",negative,analyst us tool group farmington mo unknown
"Senior Analyst, Returns and Analytics ABBVIE United States Senior",neutral,senior analyst return analyt abbvi unit state senior
"Analyst, Customer Data Analytics Guitar Center Westlake Village, Los Angeles, CA Unknown",negative,analyst custom data analyt guitar center westlak villag lo angel ca unknown
"IT Finance Business Analyst St. Luke's University Health Network Allentown, PA Unknown",negative,financ busi analyst luke univers health network allentown pa unknown
"Data Privacy Analyst II Expedia Group Seattle, WA Unknown",negative,data privaci analyst ii expedia group seattl wa unknown
Pension Risk Annuity New Business Analyst / Advanced Mutual of Omaha Remote Unknown,negative,pension risk annuiti new busi analyst advanc mutual omaha remot unknown
Analytics Implemented Solutions Analyst Credit Acceptance Remote Unknown,negative,analyt implement solut analyst credit accept remot unknown
"Junior Business Analyst CONDUENT Atlanta, GA Junior",neutral,junior busi analyst conduent atlanta ga junior
"Business Intelligence Analyst Toyota Industries Commercial Finance Coppell, TX Unknown",neutral,busi intellig analyst toyota industri commerci financ coppel tx unknown
"Optimization Analyst Paramount+ New York, NY Unknown",negative,optim analyst new york ny unknown
"Business Analyst I Thermo Fisher Scientific Saint Louis, MO Unknown",neutral,busi analyst thermo fisher scientif saint loui mo unknown
"Data Analyst II Health & Human Services Comm Vernon, TX Unknown",negative,data analyst ii health human servic comm vernon tx unknown
"Healthcare Data Analyst (Consumer Experience) Commonwealth Care Alliance Boston, MA Unknown",negative,healthcar data analyst consum experi commonwealth care allianc boston unknown
"Customer Support Data & Omnichannel Analyst Juniper Networks Westford, MA Unknown",neutral,custom support data omnichannel analyst junip network westford unknown
"Global Supply Chain Analyst Zurn Elkay Water Solutions Downers Grove, IL Unknown",negative,global suppli chain analyst zurn elkay water solut downer grove il unknown
"Business Analyst, S3/Facilities/Admin Services Sony Pictures Entertainment, Inc. Culver City, CA Unknown",negative,busi analyst servic soni pictur entertain culver citi ca unknown
"Customer Data Analyst 1 (Adminstrator) QuidelOrtho Rochester, NY Unknown",negative,custom data analyst 1 adminstr quidelortho rochest ny unknown
"Junior Data Analyst Serco North America Rock Island, IL Junior",neutral,junior data analyst serco north america rock island il junior
"BUSINESS DATA ANALYST Carter Machinery Company, Inc. Salem, VA Unknown",negative,busi data analyst carter machineri compani salem va unknown
"Business Data Analyst KGP Telecommunications, LLC Lenexa, KS Unknown",negative,busi data analyst kgp telecommun llc lenexa ks unknown
"Data Analytics and Assessment Specialist Foxborough Regional Charter School Foxborough, MA Unknown",negative,data analyt assess specialist foxborough region charter school foxborough unknown
"Senior Data Analyst Delta Dental of Wisconsin Stevens Point, WI Senior",neutral,senior data analyst delta dental wisconsin steven point wi senior
"Sr Data Analyst Disney Burbank, CA Unknown",negative,sr data analyst disney burbank ca unknown
